Age,Gender,Height_cm,Weight_kg,Fitness_Goal,Diet_Preference,Diet_Plan,Breakfast,Lunch,Dinner,Snacks,Calories,Protein_g,Carbs_g,Fats_g
46,Female,177,74,Maintenance,Non-Vegetarian,Balanced Plan,Protein shake,Rajma with roti,Grilled fish with veggies,Fruit salad,1566,108,217,36
48,Male,150,94,Weight Loss,Vegan,High Protein Plan,Protein shake,Grilled chicken with salad,Vegetable soup with bread,Boiled corn,2419,85,196,100
42,Female,169,51,Weight Loss,Vegan,Keto Plan,Upma with coconut chutney,Paneer rice bowl,Chicken stir fry,Fruit salad,2232,99,198,68
54,Male,167,66,Weight Loss,Non-Vegetarian,Low Carb Plan,Smoothie bowl,Tofu stir fry,Tofu curry,Green smoothie,1561,162,230,56
30,Male,173,81,Weight Loss,Vegan,Low Carb Plan,Protein shake,Tofu stir fry,Veg pasta,Boiled corn,2943,107,300,57
20,Male,165,96,Maintenance,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Quinoa with veggies,Tofu curry,Popcorn,1663,59,279,98
31,Male,175,57,Muscle Gain,Vegetarian,Balanced Plan,Greek yogurt with nuts,Fish curry with rice,Veg pasta,Fruit salad,1838,125,256,56
56,Male,167,77,Weight Loss,Vegetarian,Keto Plan,Greek yogurt with nuts,Rajma with roti,Chicken stir fry,Fruit salad,1996,121,165,50
43,Male,186,86,Muscle Gain,Non-Vegetarian,Low Carb Plan,Protein shake,Rajma with roti,Lentil curry with rice,Protein bar,1939,111,140,71
51,Female,181,86,Maintenance,Non-Vegetarian,Keto Plan,Smoothie bowl,Rajma with roti,Tofu curry,Fruit salad,1836,171,207,86
55,Male,150,70,Weight Loss,Vegan,Balanced Plan,Smoothie bowl,Vegetable biryani,Lentil curry with rice,Nuts mix,2767,156,228,39
24,Female,185,52,Maintenance,Vegan,High Protein Plan,Avocado toast,Paneer rice bowl,Lentil curry with rice,Fruit salad,2618,164,155,71
32,Male,170,50,Maintenance,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Tofu stir fry,Paneer curry with rice,Green smoothie,2444,63,138,76
37,Female,184,51,Muscle Gain,Non-Vegetarian,Keto Plan,Upma with coconut chutney,Dal and brown rice,Lentil curry with rice,Fruit salad,2965,65,132,62
34,Female,167,57,Weight Loss,Vegetarian,Low Carb Plan,Upma with coconut chutney,Vegetable biryani,Lentil curry with rice,Chia pudding,2582,169,240,70
22,Female,161,79,Maintenance,Vegan,Keto Plan,Oatmeal with fruits,Grilled chicken with salad,Tofu curry,Sprouts,2753,78,101,69
28,Female,160,73,Maintenance,Vegan,Keto Plan,Upma with coconut chutney,Dal and brown rice,Salad and quinoa,Green smoothie,2847,60,264,41
18,Male,177,61,Maintenance,Vegan,High Protein Plan,Smoothie bowl,Fish curry with rice,Grilled fish with veggies,Boiled corn,2685,114,179,47
45,Male,164,58,Maintenance,Non-Vegetarian,Balanced Plan,Smoothie bowl,Dal and brown rice,Lentil curry with rice,Boiled corn,2878,151,132,77
51,Female,155,78,Weight Loss,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Dal and brown rice,Tofu curry,Fruit salad,2311,53,108,60
53,Female,154,53,Muscle Gain,Vegetarian,High Protein Plan,Smoothie bowl,Fish curry with rice,Grilled fish with veggies,Sprouts,1696,179,124,41
22,Male,157,70,Muscle Gain,Vegan,Balanced Plan,Oatmeal with fruits,Fish curry with rice,Tofu curry,Protein bar,2666,171,155,81
22,Male,186,54,Muscle Gain,Vegetarian,Keto Plan,Protein shake,Vegetable biryani,Vegetable soup with bread,Green smoothie,1684,170,178,32
59,Male,154,61,Maintenance,Vegan,High Protein Plan,Oatmeal with fruits,Tofu stir fry,Tofu curry,Sprouts,2862,180,144,37
59,Female,184,51,Muscle Gain,Non-Vegetarian,Low Carb Plan,Avocado toast,Paneer rice bowl,Salad and quinoa,Sprouts,1794,153,134,54
23,Female,154,98,Weight Loss,Non-Vegetarian,Low Carb Plan,Avocado toast,Fish curry with rice,Lentil curry with rice,Sprouts,2434,128,108,41
56,Female,190,93,Weight Loss,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Rajma with roti,Lentil curry with rice,Fruit salad,1588,172,128,70
42,Male,157,92,Weight Loss,Vegan,Keto Plan,Boiled eggs and toast,Quinoa with veggies,Veg pasta,Green smoothie,2135,59,178,98
51,Female,174,82,Maintenance,Vegan,Low Carb Plan,Upma with coconut chutney,Tofu stir fry,Veg pasta,Sprouts,2305,180,199,80
31,Female,171,98,Maintenance,Vegan,High Protein Plan,Upma with coconut chutney,Vegetable biryani,Vegetable soup with bread,Green smoothie,1589,114,124,74
33,Male,163,73,Muscle Gain,Vegan,Low Carb Plan,Smoothie bowl,Dal and brown rice,Vegetable soup with bread,Sprouts,1606,141,249,100
57,Female,180,75,Maintenance,Vegan,High Protein Plan,Oatmeal with fruits,Grilled chicken with salad,Tofu curry,Nuts mix,2939,71,287,56
44,Female,174,75,Muscle Gain,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Quinoa with veggies,Paneer curry with rice,Sprouts,1582,115,187,41
39,Male,158,87,Weight Loss,Vegetarian,High Protein Plan,Greek yogurt with nuts,Dal and brown rice,Tofu curry,Boiled corn,1791,109,231,47
39,Female,155,74,Weight Loss,Non-Vegetarian,High Protein Plan,Oatmeal with fruits,Dal and brown rice,Chicken stir fry,Chia pudding,2064,126,135,55
28,Male,154,54,Maintenance,Vegan,High Protein Plan,Greek yogurt with nuts,Quinoa with veggies,Tofu curry,Boiled corn,1627,120,140,88
39,Female,183,56,Weight Loss,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Fish curry with rice,Vegetable soup with bread,Fruit salad,1622,101,194,97
53,Male,155,83,Muscle Gain,Vegan,Low Carb Plan,Poha with vegetables,Quinoa with veggies,Grilled fish with veggies,Green smoothie,1973,50,238,55
46,Female,178,100,Muscle Gain,Vegan,Balanced Plan,Smoothie bowl,Rajma with roti,Veg pasta,Fruit salad,2875,150,116,84
55,Male,180,78,Weight Loss,Vegan,High Protein Plan,Smoothie bowl,Vegetable biryani,Grilled fish with veggies,Nuts mix,2109,170,111,83
26,Female,190,74,Maintenance,Vegan,Keto Plan,Oatmeal with fruits,Dal and brown rice,Tofu curry,Chia pudding,2408,105,249,99
30,Female,159,55,Muscle Gain,Vegan,High Protein Plan,Smoothie bowl,Rajma with roti,Paneer curry with rice,Boiled corn,2900,94,134,36
34,Male,168,58,Maintenance,Vegetarian,Keto Plan,Boiled eggs and toast,Dal and brown rice,Paneer curry with rice,Nuts mix,2539,104,240,50
55,Female,183,51,Maintenance,Vegan,Balanced Plan,Boiled eggs and toast,Grilled chicken with salad,Veg pasta,Sprouts,2763,127,248,45
60,Male,156,61,Maintenance,Non-Vegetarian,High Protein Plan,Boiled eggs and toast,Rajma with roti,Paneer curry with rice,Boiled corn,2836,148,101,57
22,Female,173,90,Muscle Gain,Non-Vegetarian,Balanced Plan,Avocado toast,Grilled chicken with salad,Vegetable soup with bread,Nuts mix,2238,110,149,39
47,Male,187,56,Maintenance,Vegetarian,Low Carb Plan,Oatmeal with fruits,Dal and brown rice,Tofu curry,Boiled corn,1687,173,133,35
51,Male,176,78,Maintenance,Vegetarian,Low Carb Plan,Upma with coconut chutney,Dal and brown rice,Tofu curry,Sprouts,2260,55,231,39
53,Male,159,77,Muscle Gain,Vegan,Low Carb Plan,Protein shake,Quinoa with veggies,Lentil curry with rice,Green smoothie,1776,180,283,64
40,Male,173,64,Weight Loss,Non-Vegetarian,Keto Plan,Avocado toast,Paneer rice bowl,Paneer curry with rice,Sprouts,2642,165,196,58
24,Male,183,87,Muscle Gain,Vegetarian,Low Carb Plan,Avocado toast,Paneer rice bowl,Veg pasta,Boiled corn,1624,170,223,60
20,Male,190,70,Maintenance,Vegetarian,Low Carb Plan,Smoothie bowl,Fish curry with rice,Lentil curry with rice,Nuts mix,2891,108,132,87
54,Male,171,59,Muscle Gain,Vegan,Balanced Plan,Boiled eggs and toast,Quinoa with veggies,Grilled fish with veggies,Sprouts,1978,54,203,69
53,Male,177,82,Maintenance,Vegan,Balanced Plan,Greek yogurt with nuts,Tofu stir fry,Vegetable soup with bread,Sprouts,2736,108,287,31
48,Female,183,53,Muscle Gain,Vegetarian,Keto Plan,Upma with coconut chutney,Tofu stir fry,Salad and quinoa,Green smoothie,1649,142,202,33
19,Male,181,56,Muscle Gain,Vegetarian,Balanced Plan,Upma with coconut chutney,Quinoa with veggies,Vegetable soup with bread,Chia pudding,2928,61,269,50
42,Female,154,66,Weight Loss,Vegan,Balanced Plan,Avocado toast,Grilled chicken with salad,Chicken stir fry,Fruit salad,1775,90,123,38
53,Male,157,53,Maintenance,Vegan,Keto Plan,Avocado toast,Dal and brown rice,Salad and quinoa,Fruit salad,2132,107,243,46
56,Male,152,95,Maintenance,Vegetarian,Keto Plan,Smoothie bowl,Dal and brown rice,Salad and quinoa,Protein bar,1897,91,190,92
46,Female,170,79,Weight Loss,Vegetarian,Balanced Plan,Upma with coconut chutney,Dal and brown rice,Chicken stir fry,Boiled corn,2869,103,235,85
18,Female,157,54,Weight Loss,Vegan,Keto Plan,Upma with coconut chutney,Rajma with roti,Chicken stir fry,Fruit salad,2821,166,101,79
58,Male,189,63,Weight Loss,Non-Vegetarian,High Protein Plan,Avocado toast,Quinoa with veggies,Chicken stir fry,Fruit salad,2074,163,204,96
59,Female,156,100,Weight Loss,Vegan,Low Carb Plan,Protein shake,Dal and brown rice,Chicken stir fry,Protein bar,2879,168,119,93
21,Female,164,62,Weight Loss,Vegetarian,Low Carb Plan,Poha with vegetables,Quinoa with veggies,Veg pasta,Green smoothie,2189,55,279,45
27,Female,167,91,Weight Loss,Vegetarian,Low Carb Plan,Upma with coconut chutney,Rajma with roti,Veg pasta,Popcorn,1950,125,138,89
47,Female,188,73,Maintenance,Non-Vegetarian,High Protein Plan,Poha with vegetables,Quinoa with veggies,Paneer curry with rice,Protein bar,2820,60,118,49
19,Male,180,60,Weight Loss,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Fish curry with rice,Veg pasta,Protein bar,2883,58,158,54
19,Female,154,73,Weight Loss,Vegan,Balanced Plan,Oatmeal with fruits,Grilled chicken with salad,Lentil curry with rice,Chia pudding,2017,93,238,54
36,Male,186,80,Maintenance,Non-Vegetarian,Keto Plan,Smoothie bowl,Vegetable biryani,Chicken stir fry,Popcorn,1633,59,103,93
59,Female,155,74,Maintenance,Vegetarian,Keto Plan,Upma with coconut chutney,Quinoa with veggies,Lentil curry with rice,Nuts mix,2856,80,143,87
56,Female,190,91,Weight Loss,Vegan,Keto Plan,Boiled eggs and toast,Vegetable biryani,Vegetable soup with bread,Boiled corn,1713,170,101,41
21,Male,185,58,Muscle Gain,Non-Vegetarian,Balanced Plan,Greek yogurt with nuts,Grilled chicken with salad,Vegetable soup with bread,Protein bar,2965,85,286,84
58,Female,166,83,Maintenance,Non-Vegetarian,High Protein Plan,Protein shake,Tofu stir fry,Paneer curry with rice,Green smoothie,2842,98,116,37
31,Female,175,57,Weight Loss,Vegetarian,Low Carb Plan,Protein shake,Grilled chicken with salad,Chicken stir fry,Sprouts,2883,96,269,76
22,Male,189,87,Maintenance,Vegetarian,Low Carb Plan,Avocado toast,Fish curry with rice,Paneer curry with rice,Protein bar,2665,99,135,47
39,Male,186,87,Maintenance,Vegan,Low Carb Plan,Smoothie bowl,Fish curry with rice,Veg pasta,Protein bar,2195,108,208,75
43,Male,188,93,Muscle Gain,Non-Vegetarian,Keto Plan,Protein shake,Quinoa with veggies,Veg pasta,Boiled corn,1502,128,263,65
41,Male,160,82,Weight Loss,Non-Vegetarian,Low Carb Plan,Upma with coconut chutney,Fish curry with rice,Vegetable soup with bread,Fruit salad,1629,130,273,65
28,Male,183,95,Maintenance,Non-Vegetarian,Keto Plan,Boiled eggs and toast,Tofu stir fry,Lentil curry with rice,Green smoothie,2920,143,181,92
38,Male,159,87,Maintenance,Vegan,Keto Plan,Oatmeal with fruits,Tofu stir fry,Tofu curry,Protein bar,2184,179,196,53
22,Male,181,94,Maintenance,Non-Vegetarian,Balanced Plan,Protein shake,Dal and brown rice,Veg pasta,Green smoothie,2236,84,207,70
35,Male,172,80,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Grilled chicken with salad,Grilled fish with veggies,Popcorn,2617,89,283,31
30,Male,178,70,Maintenance,Vegan,High Protein Plan,Smoothie bowl,Tofu stir fry,Salad and quinoa,Popcorn,2844,101,102,34
33,Male,151,97,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Fish curry with rice,Veg pasta,Fruit salad,1532,155,235,35
57,Female,178,81,Muscle Gain,Non-Vegetarian,Balanced Plan,Smoothie bowl,Rajma with roti,Salad and quinoa,Nuts mix,2605,142,275,30
55,Male,178,68,Weight Loss,Vegetarian,High Protein Plan,Smoothie bowl,Grilled chicken with salad,Salad and quinoa,Boiled corn,2117,118,153,98
21,Female,180,80,Maintenance,Vegan,Balanced Plan,Greek yogurt with nuts,Rajma with roti,Vegetable soup with bread,Protein bar,2487,150,138,52
23,Male,154,97,Weight Loss,Vegan,Low Carb Plan,Oatmeal with fruits,Fish curry with rice,Veg pasta,Green smoothie,2077,50,200,98
33,Male,152,66,Weight Loss,Vegan,Keto Plan,Avocado toast,Vegetable biryani,Veg pasta,Protein bar,1853,140,257,94
44,Female,182,76,Muscle Gain,Non-Vegetarian,Low Carb Plan,Avocado toast,Rajma with roti,Salad and quinoa,Fruit salad,2344,165,122,93
35,Female,187,64,Maintenance,Non-Vegetarian,High Protein Plan,Protein shake,Dal and brown rice,Paneer curry with rice,Fruit salad,1944,80,166,94
44,Female,174,97,Weight Loss,Vegan,High Protein Plan,Avocado toast,Grilled chicken with salad,Tofu curry,Chia pudding,2219,164,123,61
37,Female,170,66,Weight Loss,Non-Vegetarian,Keto Plan,Oatmeal with fruits,Dal and brown rice,Chicken stir fry,Protein bar,1815,141,120,33
21,Female,172,72,Maintenance,Vegan,High Protein Plan,Smoothie bowl,Rajma with roti,Tofu curry,Boiled corn,2981,51,285,81
34,Female,159,61,Muscle Gain,Non-Vegetarian,Balanced Plan,Greek yogurt with nuts,Vegetable biryani,Vegetable soup with bread,Boiled corn,2618,56,190,96
34,Male,177,96,Weight Loss,Vegan,High Protein Plan,Greek yogurt with nuts,Tofu stir fry,Tofu curry,Protein bar,2184,169,191,36
36,Female,153,82,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Grilled chicken with salad,Tofu curry,Green smoothie,2112,53,123,66
52,Male,174,81,Maintenance,Vegetarian,Keto Plan,Oatmeal with fruits,Rajma with roti,Chicken stir fry,Nuts mix,1983,150,247,85
50,Male,167,65,Maintenance,Non-Vegetarian,Low Carb Plan,Smoothie bowl,Vegetable biryani,Tofu curry,Sprouts,1787,68,127,73
18,Male,176,69,Weight Loss,Vegan,Balanced Plan,Greek yogurt with nuts,Grilled chicken with salad,Tofu curry,Protein bar,1955,67,187,69
30,Male,168,70,Weight Loss,Vegan,Keto Plan,Smoothie bowl,Quinoa with veggies,Salad and quinoa,Fruit salad,2930,144,239,85
30,Female,150,92,Muscle Gain,Vegan,Keto Plan,Protein shake,Rajma with roti,Chicken stir fry,Protein bar,2245,72,176,91
60,Female,183,55,Weight Loss,Vegetarian,Low Carb Plan,Boiled eggs and toast,Rajma with roti,Veg pasta,Boiled corn,2530,175,227,45
58,Male,183,52,Weight Loss,Vegetarian,Keto Plan,Smoothie bowl,Dal and brown rice,Grilled fish with veggies,Green smoothie,1746,176,148,34
41,Male,167,57,Muscle Gain,Vegetarian,Keto Plan,Poha with vegetables,Grilled chicken with salad,Lentil curry with rice,Fruit salad,2652,64,106,96
18,Male,158,78,Muscle Gain,Non-Vegetarian,Low Carb Plan,Oatmeal with fruits,Fish curry with rice,Salad and quinoa,Sprouts,2012,102,158,77
38,Female,158,73,Maintenance,Vegetarian,Balanced Plan,Upma with coconut chutney,Paneer rice bowl,Grilled fish with veggies,Chia pudding,1923,166,134,66
33,Male,153,71,Weight Loss,Vegetarian,High Protein Plan,Smoothie bowl,Vegetable biryani,Lentil curry with rice,Nuts mix,1551,168,117,93
49,Female,184,54,Muscle Gain,Vegan,Balanced Plan,Boiled eggs and toast,Dal and brown rice,Salad and quinoa,Popcorn,2853,63,174,96
22,Female,174,71,Maintenance,Vegetarian,Balanced Plan,Protein shake,Grilled chicken with salad,Salad and quinoa,Sprouts,2696,69,251,67
26,Male,178,55,Muscle Gain,Vegan,Low Carb Plan,Protein shake,Tofu stir fry,Vegetable soup with bread,Chia pudding,2697,179,132,57
41,Male,151,71,Weight Loss,Non-Vegetarian,Balanced Plan,Oatmeal with fruits,Tofu stir fry,Grilled fish with veggies,Boiled corn,2849,119,191,63
34,Female,154,82,Maintenance,Non-Vegetarian,Balanced Plan,Smoothie bowl,Dal and brown rice,Grilled fish with veggies,Sprouts,1996,129,262,30
31,Female,172,99,Weight Loss,Vegan,High Protein Plan,Oatmeal with fruits,Tofu stir fry,Veg pasta,Boiled corn,2482,77,143,96
38,Female,183,76,Weight Loss,Vegan,Balanced Plan,Boiled eggs and toast,Vegetable biryani,Chicken stir fry,Green smoothie,1675,52,183,95
19,Female,186,63,Weight Loss,Vegetarian,Balanced Plan,Greek yogurt with nuts,Tofu stir fry,Lentil curry with rice,Protein bar,2452,102,125,55
34,Male,182,91,Maintenance,Vegetarian,High Protein Plan,Poha with vegetables,Rajma with roti,Vegetable soup with bread,Nuts mix,1557,140,114,68
27,Female,165,60,Maintenance,Vegan,Balanced Plan,Boiled eggs and toast,Fish curry with rice,Vegetable soup with bread,Green smoothie,2353,76,200,85
34,Female,153,76,Maintenance,Non-Vegetarian,High Protein Plan,Protein shake,Fish curry with rice,Veg pasta,Nuts mix,2870,176,232,90
31,Female,173,87,Maintenance,Vegan,High Protein Plan,Oatmeal with fruits,Paneer rice bowl,Vegetable soup with bread,Chia pudding,2065,166,118,50
52,Male,178,58,Weight Loss,Vegan,High Protein Plan,Poha with vegetables,Grilled chicken with salad,Lentil curry with rice,Fruit salad,1658,153,179,32
26,Male,177,94,Muscle Gain,Non-Vegetarian,Keto Plan,Smoothie bowl,Vegetable biryani,Tofu curry,Sprouts,1509,133,254,61
40,Male,166,93,Maintenance,Non-Vegetarian,Balanced Plan,Protein shake,Grilled chicken with salad,Salad and quinoa,Nuts mix,2715,157,251,30
23,Female,183,85,Maintenance,Vegetarian,High Protein Plan,Protein shake,Tofu stir fry,Grilled fish with veggies,Sprouts,2191,67,253,63
55,Male,182,78,Maintenance,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Fish curry with rice,Salad and quinoa,Boiled corn,2296,97,256,42
51,Male,155,56,Maintenance,Vegetarian,Keto Plan,Smoothie bowl,Rajma with roti,Vegetable soup with bread,Chia pudding,2415,54,166,66
41,Female,155,75,Maintenance,Vegetarian,Low Carb Plan,Poha with vegetables,Grilled chicken with salad,Vegetable soup with bread,Fruit salad,1565,140,299,77
46,Female,175,85,Maintenance,Vegan,Balanced Plan,Protein shake,Grilled chicken with salad,Lentil curry with rice,Boiled corn,2627,69,261,73
38,Male,184,91,Muscle Gain,Vegetarian,Balanced Plan,Protein shake,Quinoa with veggies,Tofu curry,Protein bar,2631,85,177,85
55,Male,176,78,Muscle Gain,Vegan,High Protein Plan,Boiled eggs and toast,Quinoa with veggies,Veg pasta,Green smoothie,1786,125,152,43
54,Female,184,81,Maintenance,Vegetarian,Low Carb Plan,Poha with vegetables,Quinoa with veggies,Paneer curry with rice,Nuts mix,1733,122,232,33
51,Male,157,93,Maintenance,Vegan,Keto Plan,Oatmeal with fruits,Paneer rice bowl,Lentil curry with rice,Sprouts,2833,147,300,95
25,Male,175,51,Maintenance,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Fish curry with rice,Paneer curry with rice,Popcorn,2455,66,236,54
23,Female,178,93,Muscle Gain,Non-Vegetarian,High Protein Plan,Protein shake,Quinoa with veggies,Vegetable soup with bread,Sprouts,2973,152,158,73
54,Male,170,81,Weight Loss,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Quinoa with veggies,Tofu curry,Protein bar,1779,86,295,35
18,Female,179,78,Muscle Gain,Vegan,Balanced Plan,Upma with coconut chutney,Tofu stir fry,Chicken stir fry,Protein bar,1976,163,136,52
18,Female,184,57,Maintenance,Vegan,Balanced Plan,Avocado toast,Paneer rice bowl,Lentil curry with rice,Fruit salad,1582,87,232,84
44,Male,184,65,Weight Loss,Vegan,High Protein Plan,Poha with vegetables,Fish curry with rice,Grilled fish with veggies,Chia pudding,1532,74,188,99
47,Male,150,69,Muscle Gain,Non-Vegetarian,Balanced Plan,Poha with vegetables,Fish curry with rice,Vegetable soup with bread,Green smoothie,2500,71,241,71
59,Male,180,90,Weight Loss,Vegetarian,Low Carb Plan,Oatmeal with fruits,Paneer rice bowl,Vegetable soup with bread,Green smoothie,1706,120,169,47
27,Male,188,55,Muscle Gain,Vegetarian,High Protein Plan,Smoothie bowl,Fish curry with rice,Tofu curry,Protein bar,2639,145,142,69
27,Male,153,51,Weight Loss,Non-Vegetarian,Low Carb Plan,Poha with vegetables,Dal and brown rice,Lentil curry with rice,Sprouts,2722,65,103,55
39,Female,167,89,Muscle Gain,Vegan,Balanced Plan,Greek yogurt with nuts,Dal and brown rice,Tofu curry,Sprouts,2472,50,190,43
32,Male,168,58,Weight Loss,Vegan,Keto Plan,Smoothie bowl,Rajma with roti,Salad and quinoa,Sprouts,2756,77,138,37
43,Female,167,70,Muscle Gain,Vegan,Low Carb Plan,Boiled eggs and toast,Paneer rice bowl,Grilled fish with veggies,Fruit salad,2627,87,265,80
25,Male,180,62,Weight Loss,Vegan,Low Carb Plan,Oatmeal with fruits,Paneer rice bowl,Paneer curry with rice,Chia pudding,2452,180,283,95
50,Male,163,93,Weight Loss,Vegetarian,High Protein Plan,Greek yogurt with nuts,Dal and brown rice,Grilled fish with veggies,Green smoothie,1715,129,103,57
54,Female,187,96,Maintenance,Non-Vegetarian,Low Carb Plan,Avocado toast,Dal and brown rice,Tofu curry,Chia pudding,1986,171,167,32
52,Male,163,98,Weight Loss,Vegan,High Protein Plan,Upma with coconut chutney,Quinoa with veggies,Vegetable soup with bread,Chia pudding,2935,64,120,48
59,Male,178,72,Muscle Gain,Vegetarian,Keto Plan,Upma with coconut chutney,Vegetable biryani,Lentil curry with rice,Green smoothie,2712,61,171,98
59,Male,173,58,Weight Loss,Vegan,Keto Plan,Greek yogurt with nuts,Grilled chicken with salad,Chicken stir fry,Green smoothie,2747,175,296,92
18,Male,173,87,Muscle Gain,Non-Vegetarian,Balanced Plan,Boiled eggs and toast,Paneer rice bowl,Tofu curry,Nuts mix,2571,94,119,59
25,Male,150,96,Muscle Gain,Vegan,High Protein Plan,Greek yogurt with nuts,Grilled chicken with salad,Grilled fish with veggies,Chia pudding,1562,168,169,33
56,Male,161,64,Weight Loss,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Rajma with roti,Veg pasta,Green smoothie,2808,146,161,76
28,Male,159,67,Weight Loss,Non-Vegetarian,Keto Plan,Greek yogurt with nuts,Tofu stir fry,Salad and quinoa,Green smoothie,2063,111,105,70
25,Female,185,84,Maintenance,Vegan,Low Carb Plan,Poha with vegetables,Tofu stir fry,Grilled fish with veggies,Chia pudding,1610,73,194,34
46,Female,161,87,Maintenance,Non-Vegetarian,High Protein Plan,Poha with vegetables,Grilled chicken with salad,Grilled fish with veggies,Boiled corn,2003,170,260,56
39,Male,167,66,Maintenance,Non-Vegetarian,Balanced Plan,Smoothie bowl,Vegetable biryani,Paneer curry with rice,Fruit salad,2936,65,148,49
56,Male,166,65,Maintenance,Vegan,Balanced Plan,Smoothie bowl,Grilled chicken with salad,Grilled fish with veggies,Fruit salad,2973,156,164,93
54,Female,163,72,Maintenance,Non-Vegetarian,High Protein Plan,Boiled eggs and toast,Vegetable biryani,Paneer curry with rice,Boiled corn,1979,128,132,83
40,Female,164,95,Muscle Gain,Vegetarian,High Protein Plan,Upma with coconut chutney,Quinoa with veggies,Vegetable soup with bread,Protein bar,2330,98,154,100
55,Male,181,56,Weight Loss,Non-Vegetarian,Low Carb Plan,Oatmeal with fruits,Quinoa with veggies,Vegetable soup with bread,Popcorn,2716,151,183,35
45,Female,163,75,Maintenance,Vegetarian,Balanced Plan,Greek yogurt with nuts,Vegetable biryani,Vegetable soup with bread,Fruit salad,2483,99,238,61
45,Male,189,51,Muscle Gain,Vegan,Keto Plan,Greek yogurt with nuts,Quinoa with veggies,Vegetable soup with bread,Sprouts,2307,72,168,49
51,Female,170,84,Maintenance,Non-Vegetarian,Balanced Plan,Poha with vegetables,Vegetable biryani,Paneer curry with rice,Boiled corn,2603,139,152,57
48,Male,161,83,Maintenance,Vegetarian,High Protein Plan,Avocado toast,Tofu stir fry,Grilled fish with veggies,Sprouts,2487,142,238,55
