Age,Gender,Height_cm,Weight_kg,Fitness_Goal,Diet_Preference,Diet_Plan,Breakfast,Lunch,Dinner,Snacks,Calories,Protein_g,Carbs_g,Fats_g
56,Female,162,61,Weight Loss,Vegan,Keto Plan,Avocado toast,Paneer rice bowl,Vegetable soup with bread,Protein bar,2432,178,107,84
31,Male,164,100,Muscle Gain,Non-Vegetarian,Keto Plan,Protein shake,Grilled chicken with salad,Veg pasta,Fruit salad,2824,57,282,61
53,Female,161,53,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Dal and brown rice,Grilled fish with veggies,Sprouts,2785,175,103,54
59,Male,165,88,Maintenance,Vegetarian,Low Carb Plan,Boiled eggs and toast,Vegetable biryani,Chicken stir fry,Green smoothie,2972,81,277,98
53,Male,154,77,Maintenance,Non-Vegetarian,Keto Plan,Protein shake,Tofu stir fry,Paneer curry with rice,Protein bar,2005,92,242,75
23,Female,181,90,Muscle Gain,Vegetarian,Low Carb Plan,Protein shake,Dal and brown rice,Salad and quinoa,Sprouts,2008,171,216,40
18,Female,187,61,Muscle Gain,Vegetarian,Keto Plan,Protein shake,Dal and brown rice,Lentil curry with rice,Sprouts,2941,138,231,95
28,Male,179,77,Weight Loss,Vegan,Keto Plan,Upma with coconut chutney,Rajma with roti,Grilled fish with veggies,Popcorn,2658,149,289,79
19,Male,150,75,Weight Loss,Vegan,Keto Plan,Greek yogurt with nuts,Tofu stir fry,Chicken stir fry,Chia pudding,1500,112,274,80
50,Female,165,66,Weight Loss,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Fish curry with rice,Tofu curry,Chia pudding,2185,101,294,40
21,Female,172,86,Weight Loss,Non-Vegetarian,Low Carb Plan,Protein shake,Rajma with roti,Lentil curry with rice,Sprouts,1966,160,271,90
38,Female,150,78,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Rajma with roti,Veg pasta,Nuts mix,2891,64,277,86
42,Female,153,78,Weight Loss,Vegetarian,Balanced Plan,Oatmeal with fruits,Quinoa with veggies,Tofu curry,Fruit salad,2199,83,296,87
29,Female,172,95,Weight Loss,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Vegetable biryani,Grilled fish with veggies,Protein bar,2675,113,241,80
40,Female,185,54,Maintenance,Vegan,Low Carb Plan,Oatmeal with fruits,Quinoa with veggies,Grilled fish with veggies,Sprouts,1714,172,213,72
47,Female,173,66,Weight Loss,Vegan,High Protein Plan,Poha with vegetables,Paneer rice bowl,Lentil curry with rice,Chia pudding,2199,114,113,65
26,Male,158,96,Muscle Gain,Non-Vegetarian,Keto Plan,Avocado toast,Fish curry with rice,Vegetable soup with bread,Chia pudding,2703,70,125,87
29,Female,152,75,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Vegetable biryani,Grilled fish with veggies,Protein bar,1934,152,158,56
60,Male,167,75,Weight Loss,Non-Vegetarian,Keto Plan,Greek yogurt with nuts,Grilled chicken with salad,Chicken stir fry,Boiled corn,1842,103,164,45
53,Female,155,90,Maintenance,Vegan,Low Carb Plan,Greek yogurt with nuts,Dal and brown rice,Paneer curry with rice,Fruit salad,1540,148,194,87
26,Female,158,71,Weight Loss,Vegetarian,Low Carb Plan,Boiled eggs and toast,Fish curry with rice,Chicken stir fry,Boiled corn,2174,119,192,37
57,Female,160,66,Maintenance,Vegetarian,Low Carb Plan,Oatmeal with fruits,Tofu stir fry,Lentil curry with rice,Sprouts,2829,74,110,41
43,Male,187,67,Maintenance,Non-Vegetarian,High Protein Plan,Upma with coconut chutney,Paneer rice bowl,Lentil curry with rice,Fruit salad,2247,99,300,92
49,Male,154,83,Muscle Gain,Non-Vegetarian,Balanced Plan,Oatmeal with fruits,Rajma with roti,Grilled fish with veggies,Protein bar,2214,120,250,94
54,Female,188,89,Maintenance,Non-Vegetarian,High Protein Plan,Greek yogurt with nuts,Quinoa with veggies,Salad and quinoa,Protein bar,2282,138,204,52
32,Male,162,94,Weight Loss,Vegetarian,Balanced Plan,Boiled eggs and toast,Vegetable biryani,Chicken stir fry,Protein bar,1919,161,294,72
35,Male,172,65,Weight Loss,Vegetarian,High Protein Plan,Avocado toast,Quinoa with veggies,Paneer curry with rice,Nuts mix,1994,102,153,37
42,Male,174,86,Muscle Gain,Vegetarian,Balanced Plan,Avocado toast,Grilled chicken with salad,Grilled fish with veggies,Nuts mix,1617,147,119,84
55,Male,158,74,Weight Loss,Non-Vegetarian,Balanced Plan,Smoothie bowl,Tofu stir fry,Grilled fish with veggies,Protein bar,1992,57,216,92
24,Male,189,56,Muscle Gain,Vegan,High Protein Plan,Avocado toast,Dal and brown rice,Salad and quinoa,Protein bar,2547,93,133,52
43,Female,187,65,Maintenance,Vegan,Low Carb Plan,Poha with vegetables,Grilled chicken with salad,Lentil curry with rice,Boiled corn,2452,180,103,48
38,Male,177,72,Muscle Gain,Non-Vegetarian,High Protein Plan,Avocado toast,Tofu stir fry,Chicken stir fry,Boiled corn,1579,55,271,51
18,Female,187,96,Weight Loss,Non-Vegetarian,Balanced Plan,Protein shake,Dal and brown rice,Vegetable soup with bread,Fruit salad,2137,174,170,57
43,Male,187,96,Weight Loss,Vegetarian,High Protein Plan,Oatmeal with fruits,Rajma with roti,Lentil curry with rice,Sprouts,1874,158,133,34
50,Female,161,81,Maintenance,Vegetarian,Balanced Plan,Protein shake,Rajma with roti,Vegetable soup with bread,Boiled corn,2322,148,276,86
30,Male,161,65,Muscle Gain,Non-Vegetarian,Low Carb Plan,Upma with coconut chutney,Fish curry with rice,Salad and quinoa,Boiled corn,2214,97,272,39
47,Female,178,100,Maintenance,Vegan,High Protein Plan,Poha with vegetables,Dal and brown rice,Vegetable soup with bread,Popcorn,2188,74,141,87
59,Male,174,91,Maintenance,Vegan,Low Carb Plan,Poha with vegetables,Paneer rice bowl,Paneer curry with rice,Popcorn,1816,103,148,78
29,Male,160,91,Muscle Gain,Vegan,Low Carb Plan,Poha with vegetables,Grilled chicken with salad,Grilled fish with veggies,Green smoothie,2070,114,122,67
45,Female,161,85,Maintenance,Non-Vegetarian,Balanced Plan,Poha with vegetables,Dal and brown rice,Salad and quinoa,Green smoothie,2925,124,219,77
21,Female,190,52,Maintenance,Non-Vegetarian,High Protein Plan,Oatmeal with fruits,Quinoa with veggies,Vegetable soup with bread,Fruit salad,2624,69,293,30
56,Male,166,53,Muscle Gain,Vegetarian,Low Carb Plan,Protein shake,Vegetable biryani,Vegetable soup with bread,Protein bar,1998,61,184,33
45,Female,185,84,Weight Loss,Vegetarian,Low Carb Plan,Upma with coconut chutney,Grilled chicken with salad,Tofu curry,Sprouts,1951,146,271,100
36,Male,155,77,Muscle Gain,Vegan,Low Carb Plan,Protein shake,Tofu stir fry,Tofu curry,Nuts mix,2152,70,136,44
43,Male,174,75,Maintenance,Non-Vegetarian,Keto Plan,Protein shake,Paneer rice bowl,Grilled fish with veggies,Fruit salad,2897,124,254,51
58,Female,161,88,Weight Loss,Vegan,Low Carb Plan,Protein shake,Quinoa with veggies,Veg pasta,Protein bar,1959,136,211,65
43,Male,156,72,Weight Loss,Vegetarian,High Protein Plan,Protein shake,Vegetable biryani,Salad and quinoa,Fruit salad,2700,53,154,59
58,Female,165,55,Maintenance,Vegetarian,High Protein Plan,Poha with vegetables,Quinoa with veggies,Tofu curry,Chia pudding,2541,73,251,58
32,Female,172,97,Weight Loss,Vegetarian,Low Carb Plan,Smoothie bowl,Tofu stir fry,Lentil curry with rice,Green smoothie,1933,63,106,85
21,Female,154,81,Weight Loss,Vegetarian,Balanced Plan,Oatmeal with fruits,Dal and brown rice,Chicken stir fry,Boiled corn,2935,96,199,46
34,Female,164,68,Muscle Gain,Vegan,High Protein Plan,Oatmeal with fruits,Rajma with roti,Tofu curry,Protein bar,2701,100,102,40
30,Male,153,57,Weight Loss,Vegan,Low Carb Plan,Oatmeal with fruits,Vegetable biryani,Vegetable soup with bread,Nuts mix,1809,132,130,48
48,Male,178,98,Weight Loss,Vegetarian,Keto Plan,Boiled eggs and toast,Tofu stir fry,Paneer curry with rice,Green smoothie,2709,128,120,65
24,Male,166,67,Weight Loss,Non-Vegetarian,Balanced Plan,Avocado toast,Rajma with roti,Tofu curry,Nuts mix,1867,99,120,66
47,Male,190,66,Weight Loss,Non-Vegetarian,Keto Plan,Oatmeal with fruits,Dal and brown rice,Paneer curry with rice,Boiled corn,2813,136,254,89
20,Male,188,63,Weight Loss,Vegetarian,Keto Plan,Oatmeal with fruits,Paneer rice bowl,Grilled fish with veggies,Fruit salad,1928,90,111,32
36,Female,154,92,Muscle Gain,Vegetarian,Balanced Plan,Boiled eggs and toast,Dal and brown rice,Veg pasta,Protein bar,2796,174,102,42
38,Male,173,84,Weight Loss,Vegan,Balanced Plan,Upma with coconut chutney,Quinoa with veggies,Salad and quinoa,Nuts mix,2446,63,219,95
47,Female,176,79,Weight Loss,Vegetarian,Low Carb Plan,Upma with coconut chutney,Paneer rice bowl,Veg pasta,Protein bar,1957,164,148,58
47,Female,153,66,Weight Loss,Non-Vegetarian,Keto Plan,Protein shake,Vegetable biryani,Lentil curry with rice,Sprouts,1788,121,281,46
58,Male,181,83,Muscle Gain,Vegan,Low Carb Plan,Boiled eggs and toast,Dal and brown rice,Tofu curry,Nuts mix,2027,100,207,35
58,Female,164,51,Muscle Gain,Vegan,High Protein Plan,Poha with vegetables,Fish curry with rice,Salad and quinoa,Nuts mix,2522,74,128,41
19,Male,179,93,Weight Loss,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Grilled chicken with salad,Salad and quinoa,Boiled corn,2920,88,257,30
39,Male,186,86,Maintenance,Non-Vegetarian,Balanced Plan,Boiled eggs and toast,Rajma with roti,Veg pasta,Green smoothie,2142,125,121,33
32,Male,159,56,Maintenance,Vegetarian,High Protein Plan,Greek yogurt with nuts,Grilled chicken with salad,Salad and quinoa,Popcorn,2917,145,134,55
26,Male,188,60,Maintenance,Vegetarian,Low Carb Plan,Boiled eggs and toast,Rajma with roti,Lentil curry with rice,Green smoothie,1904,180,158,49
58,Male,179,100,Maintenance,Vegan,Balanced Plan,Smoothie bowl,Grilled chicken with salad,Tofu curry,Green smoothie,1688,145,236,44
39,Male,154,59,Maintenance,Non-Vegetarian,Low Carb Plan,Protein shake,Paneer rice bowl,Chicken stir fry,Green smoothie,1567,117,288,66
49,Male,177,55,Maintenance,Non-Vegetarian,Keto Plan,Poha with vegetables,Dal and brown rice,Veg pasta,Green smoothie,2193,92,168,61
48,Male,154,77,Muscle Gain,Vegan,High Protein Plan,Oatmeal with fruits,Rajma with roti,Chicken stir fry,Boiled corn,2671,143,125,95
24,Female,164,80,Muscle Gain,Non-Vegetarian,Balanced Plan,Boiled eggs and toast,Grilled chicken with salad,Salad and quinoa,Popcorn,1603,159,135,32
19,Male,188,57,Maintenance,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Fish curry with rice,Salad and quinoa,Fruit salad,2413,88,254,74
50,Male,171,95,Maintenance,Vegan,Low Carb Plan,Greek yogurt with nuts,Rajma with roti,Vegetable soup with bread,Chia pudding,1500,97,164,42
35,Male,167,97,Weight Loss,Non-Vegetarian,High Protein Plan,Boiled eggs and toast,Fish curry with rice,Veg pasta,Fruit salad,2258,77,173,87
48,Female,187,56,Weight Loss,Non-Vegetarian,Low Carb Plan,Poha with vegetables,Dal and brown rice,Lentil curry with rice,Popcorn,2274,55,241,45
40,Male,185,93,Weight Loss,Vegan,Balanced Plan,Smoothie bowl,Rajma with roti,Lentil curry with rice,Popcorn,1521,149,149,72
30,Female,153,93,Muscle Gain,Vegetarian,Low Carb Plan,Avocado toast,Quinoa with veggies,Veg pasta,Popcorn,2921,170,150,36
51,Female,157,60,Maintenance,Vegetarian,Balanced Plan,Upma with coconut chutney,Fish curry with rice,Vegetable soup with bread,Popcorn,1938,118,293,72
60,Female,174,76,Maintenance,Non-Vegetarian,Low Carb Plan,Smoothie bowl,Tofu stir fry,Chicken stir fry,Protein bar,2146,119,153,78
47,Male,170,84,Muscle Gain,Vegan,Low Carb Plan,Avocado toast,Quinoa with veggies,Salad and quinoa,Boiled corn,2398,162,295,99
49,Female,173,86,Maintenance,Vegetarian,Low Carb Plan,Upma with coconut chutney,Grilled chicken with salad,Vegetable soup with bread,Chia pudding,2310,146,110,72
19,Male,170,78,Maintenance,Vegan,High Protein Plan,Boiled eggs and toast,Fish curry with rice,Chicken stir fry,Nuts mix,1979,105,147,88
35,Female,150,58,Maintenance,Vegan,High Protein Plan,Oatmeal with fruits,Fish curry with rice,Lentil curry with rice,Boiled corn,2299,162,197,89
39,Male,157,78,Muscle Gain,Vegan,Balanced Plan,Boiled eggs and toast,Fish curry with rice,Veg pasta,Nuts mix,2569,99,112,73
18,Male,151,85,Maintenance,Non-Vegetarian,Keto Plan,Smoothie bowl,Quinoa with veggies,Chicken stir fry,Nuts mix,2195,52,287,54
37,Female,181,87,Weight Loss,Vegetarian,High Protein Plan,Greek yogurt with nuts,Dal and brown rice,Lentil curry with rice,Fruit salad,1872,180,163,98
35,Female,162,74,Weight Loss,Vegan,High Protein Plan,Smoothie bowl,Tofu stir fry,Lentil curry with rice,Nuts mix,2746,173,230,95
55,Female,182,69,Weight Loss,Vegan,Keto Plan,Oatmeal with fruits,Grilled chicken with salad,Lentil curry with rice,Protein bar,2843,114,145,100
22,Male,166,81,Weight Loss,Non-Vegetarian,Low Carb Plan,Protein shake,Quinoa with veggies,Veg pasta,Sprouts,2042,130,200,66
34,Male,180,92,Maintenance,Vegetarian,Low Carb Plan,Smoothie bowl,Tofu stir fry,Salad and quinoa,Fruit salad,1576,65,254,75
25,Female,184,51,Muscle Gain,Vegan,High Protein Plan,Upma with coconut chutney,Vegetable biryani,Lentil curry with rice,Popcorn,1978,152,173,42
43,Male,163,69,Weight Loss,Vegetarian,Balanced Plan,Greek yogurt with nuts,Rajma with roti,Lentil curry with rice,Green smoothie,2232,152,297,93
19,Female,172,76,Muscle Gain,Vegan,Keto Plan,Protein shake,Dal and brown rice,Grilled fish with veggies,Green smoothie,2780,53,212,100
25,Female,150,50,Maintenance,Vegetarian,Balanced Plan,Smoothie bowl,Dal and brown rice,Lentil curry with rice,Chia pudding,2437,95,210,56
27,Female,163,74,Muscle Gain,Vegetarian,High Protein Plan,Smoothie bowl,Rajma with roti,Paneer curry with rice,Protein bar,2652,91,236,35
46,Female,154,53,Weight Loss,Vegetarian,High Protein Plan,Boiled eggs and toast,Grilled chicken with salad,Grilled fish with veggies,Protein bar,1589,166,100,99
19,Female,151,90,Weight Loss,Vegan,Balanced Plan,Oatmeal with fruits,Fish curry with rice,Vegetable soup with bread,Boiled corn,2977,81,100,52
41,Female,190,100,Muscle Gain,Vegan,High Protein Plan,Boiled eggs and toast,Quinoa with veggies,Grilled fish with veggies,Popcorn,2790,63,285,75
28,Male,169,92,Maintenance,Vegan,Low Carb Plan,Oatmeal with fruits,Quinoa with veggies,Salad and quinoa,Green smoothie,1835,53,158,64
46,Female,153,69,Maintenance,Non-Vegetarian,Keto Plan,Avocado toast,Paneer rice bowl,Vegetable soup with bread,Nuts mix,1502,104,127,74
57,Female,159,52,Weight Loss,Non-Vegetarian,Keto Plan,Avocado toast,Grilled chicken with salad,Chicken stir fry,Green smoothie,1540,158,234,78
58,Female,173,90,Maintenance,Non-Vegetarian,Low Carb Plan,Greek yogurt with nuts,Fish curry with rice,Salad and quinoa,Protein bar,2585,146,157,77
35,Female,175,82,Maintenance,Non-Vegetarian,Balanced Plan,Smoothie bowl,Grilled chicken with salad,Lentil curry with rice,Boiled corn,1873,67,189,66
53,Male,165,80,Weight Loss,Non-Vegetarian,Balanced Plan,Smoothie bowl,Fish curry with rice,Vegetable soup with bread,Chia pudding,2549,72,234,50
19,Male,183,53,Weight Loss,Non-Vegetarian,Balanced Plan,Poha with vegetables,Dal and brown rice,Tofu curry,Nuts mix,2191,50,216,93
34,Male,182,50,Weight Loss,Vegan,Low Carb Plan,Boiled eggs and toast,Grilled chicken with salad,Vegetable soup with bread,Nuts mix,2243,90,213,57
28,Male,160,64,Muscle Gain,Vegetarian,High Protein Plan,Avocado toast,Dal and brown rice,Vegetable soup with bread,Chia pudding,2190,71,141,95
37,Male,190,65,Weight Loss,Vegan,Low Carb Plan,Avocado toast,Grilled chicken with salad,Chicken stir fry,Chia pudding,2451,74,219,46
23,Female,160,93,Muscle Gain,Vegetarian,High Protein Plan,Protein shake,Vegetable biryani,Grilled fish with veggies,Green smoothie,1559,54,153,83
58,Female,160,56,Muscle Gain,Non-Vegetarian,Balanced Plan,Oatmeal with fruits,Dal and brown rice,Chicken stir fry,Sprouts,2620,94,112,31
50,Male,153,86,Weight Loss,Vegan,Low Carb Plan,Boiled eggs and toast,Fish curry with rice,Chicken stir fry,Boiled corn,2878,71,222,49
42,Male,189,89,Weight Loss,Vegan,Keto Plan,Boiled eggs and toast,Fish curry with rice,Lentil curry with rice,Green smoothie,1506,117,293,69
53,Female,171,97,Maintenance,Vegan,High Protein Plan,Protein shake,Dal and brown rice,Salad and quinoa,Chia pudding,1654,56,236,80
29,Male,155,50,Maintenance,Vegan,High Protein Plan,Upma with coconut chutney,Quinoa with veggies,Lentil curry with rice,Boiled corn,1630,102,239,58
45,Male,188,59,Muscle Gain,Vegan,High Protein Plan,Protein shake,Rajma with roti,Tofu curry,Nuts mix,1555,93,257,100
44,Male,163,56,Muscle Gain,Non-Vegetarian,High Protein Plan,Boiled eggs and toast,Dal and brown rice,Vegetable soup with bread,Nuts mix,1703,152,226,83
52,Male,174,86,Muscle Gain,Non-Vegetarian,Keto Plan,Protein shake,Paneer rice bowl,Lentil curry with rice,Popcorn,2943,136,165,80
24,Female,182,61,Muscle Gain,Vegetarian,Balanced Plan,Oatmeal with fruits,Fish curry with rice,Chicken stir fry,Popcorn,2501,175,156,87
47,Male,188,56,Weight Loss,Vegan,High Protein Plan,Oatmeal with fruits,Vegetable biryani,Salad and quinoa,Chia pudding,1776,75,131,38
36,Male,159,54,Muscle Gain,Vegetarian,Low Carb Plan,Boiled eggs and toast,Rajma with roti,Tofu curry,Green smoothie,2608,90,152,89
55,Female,152,82,Muscle Gain,Vegetarian,Keto Plan,Greek yogurt with nuts,Rajma with roti,Grilled fish with veggies,Green smoothie,1606,87,102,74
23,Female,180,69,Muscle Gain,Vegetarian,Balanced Plan,Oatmeal with fruits,Vegetable biryani,Salad and quinoa,Nuts mix,2918,112,254,31
27,Male,167,69,Maintenance,Non-Vegetarian,Keto Plan,Protein shake,Rajma with roti,Veg pasta,Protein bar,2232,66,238,54
44,Female,154,62,Muscle Gain,Vegan,High Protein Plan,Smoothie bowl,Paneer rice bowl,Grilled fish with veggies,Fruit salad,2565,85,279,68
22,Female,159,70,Weight Loss,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Fish curry with rice,Vegetable soup with bread,Green smoothie,2125,78,209,58
54,Female,180,100,Muscle Gain,Vegan,Balanced Plan,Poha with vegetables,Fish curry with rice,Grilled fish with veggies,Fruit salad,1761,172,217,63
44,Male,176,67,Weight Loss,Vegetarian,Balanced Plan,Greek yogurt with nuts,Grilled chicken with salad,Salad and quinoa,Fruit salad,2095,82,248,65
53,Female,166,92,Muscle Gain,Non-Vegetarian,Low Carb Plan,Greek yogurt with nuts,Paneer rice bowl,Salad and quinoa,Popcorn,2705,88,253,45
53,Male,175,82,Maintenance,Non-Vegetarian,Balanced Plan,Smoothie bowl,Vegetable biryani,Chicken stir fry,Protein bar,1558,110,148,51
42,Female,157,53,Weight Loss,Non-Vegetarian,Low Carb Plan,Avocado toast,Grilled chicken with salad,Veg pasta,Chia pudding,2307,108,160,40
50,Female,169,56,Muscle Gain,Vegetarian,High Protein Plan,Oatmeal with fruits,Dal and brown rice,Vegetable soup with bread,Popcorn,2701,61,175,91
55,Male,183,97,Weight Loss,Vegan,High Protein Plan,Protein shake,Tofu stir fry,Grilled fish with veggies,Nuts mix,2003,107,103,38
28,Female,189,61,Muscle Gain,Vegan,Keto Plan,Smoothie bowl,Tofu stir fry,Veg pasta,Sprouts,2945,148,261,75
51,Male,176,91,Weight Loss,Non-Vegetarian,Low Carb Plan,Upma with coconut chutney,Paneer rice bowl,Salad and quinoa,Green smoothie,1988,174,209,54
49,Male,169,87,Weight Loss,Vegetarian,Keto Plan,Upma with coconut chutney,Rajma with roti,Veg pasta,Boiled corn,2487,143,202,84
54,Female,153,84,Weight Loss,Vegetarian,High Protein Plan,Boiled eggs and toast,Fish curry with rice,Tofu curry,Green smoothie,1632,70,221,85
32,Female,151,62,Maintenance,Vegetarian,Keto Plan,Avocado toast,Fish curry with rice,Tofu curry,Chia pudding,2297,160,165,93
52,Female,152,51,Muscle Gain,Vegetarian,Low Carb Plan,Greek yogurt with nuts,Tofu stir fry,Lentil curry with rice,Fruit salad,2713,119,188,100
22,Female,182,84,Weight Loss,Non-Vegetarian,Balanced Plan,Protein shake,Tofu stir fry,Grilled fish with veggies,Popcorn,1539,130,117,92
54,Male,167,99,Weight Loss,Non-Vegetarian,High Protein Plan,Avocado toast,Quinoa with veggies,Vegetable soup with bread,Boiled corn,2088,134,169,40
35,Male,171,81,Weight Loss,Non-Vegetarian,High Protein Plan,Poha with vegetables,Tofu stir fry,Lentil curry with rice,Nuts mix,2494,143,214,58
42,Male,163,64,Muscle Gain,Vegetarian,High Protein Plan,Poha with vegetables,Tofu stir fry,Salad and quinoa,Chia pudding,2160,62,287,80
33,Male,186,78,Muscle Gain,Vegan,Balanced Plan,Upma with coconut chutney,Rajma with roti,Vegetable soup with bread,Nuts mix,1953,64,153,76
38,Female,169,80,Weight Loss,Non-Vegetarian,Keto Plan,Boiled eggs and toast,Dal and brown rice,Salad and quinoa,Boiled corn,1889,81,277,77
25,Male,174,90,Maintenance,Vegetarian,Keto Plan,Avocado toast,Grilled chicken with salad,Paneer curry with rice,Sprouts,1930,117,188,93
53,Male,178,66,Muscle Gain,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Fish curry with rice,Vegetable soup with bread,Nuts mix,2116,89,114,67
51,Female,169,62,Muscle Gain,Vegan,Low Carb Plan,Protein shake,Dal and brown rice,Grilled fish with veggies,Green smoothie,2466,55,225,34
24,Female,177,75,Muscle Gain,Vegetarian,Low Carb Plan,Oatmeal with fruits,Rajma with roti,Paneer curry with rice,Chia pudding,2208,65,213,54
38,Female,171,71,Muscle Gain,Non-Vegetarian,Keto Plan,Smoothie bowl,Dal and brown rice,Salad and quinoa,Nuts mix,2709,177,279,41
34,Male,184,50,Weight Loss,Non-Vegetarian,Keto Plan,Smoothie bowl,Grilled chicken with salad,Salad and quinoa,Popcorn,2511,87,124,59
46,Female,167,53,Weight Loss,Vegetarian,Low Carb Plan,Avocado toast,Rajma with roti,Lentil curry with rice,Chia pudding,1862,127,198,95
39,Male,183,58,Muscle Gain,Non-Vegetarian,Low Carb Plan,Avocado toast,Rajma with roti,Paneer curry with rice,Chia pudding,2714,137,244,55
27,Male,168,53,Maintenance,Vegan,Low Carb Plan,Upma with coconut chutney,Tofu stir fry,Vegetable soup with bread,Boiled corn,2347,158,187,31
21,Female,166,58,Weight Loss,Non-Vegetarian,Keto Plan,Greek yogurt with nuts,Fish curry with rice,Lentil curry with rice,Sprouts,2958,163,217,59
36,Male,155,89,Weight Loss,Vegetarian,High Protein Plan,Upma with coconut chutney,Paneer rice bowl,Chicken stir fry,Green smoothie,1620,141,122,39
29,Male,171,65,Muscle Gain,Vegan,Keto Plan,Upma with coconut chutney,Vegetable biryani,Tofu curry,Boiled corn,2238,134,166,43
26,Female,187,100,Muscle Gain,Vegetarian,Balanced Plan,Smoothie bowl,Tofu stir fry,Chicken stir fry,Sprouts,1517,97,252,59
46,Male,158,95,Weight Loss,Vegetarian,Keto Plan,Smoothie bowl,Vegetable biryani,Chicken stir fry,Nuts mix,2778,167,196,31
44,Female,185,59,Weight Loss,Non-Vegetarian,Low Carb Plan,Oatmeal with fruits,Quinoa with veggies,Vegetable soup with bread,Chia pudding,2300,77,122,83
28,Male,175,95,Weight Loss,Non-Vegetarian,High Protein Plan,Protein shake,Grilled chicken with salad,Lentil curry with rice,Boiled corn,2377,147,277,75
58,Male,179,64,Weight Loss,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Rajma with roti,Vegetable soup with bread,Popcorn,2324,96,224,95
50,Female,151,50,Muscle Gain,Vegan,Keto Plan,Boiled eggs and toast,Fish curry with rice,Vegetable soup with bread,Boiled corn,2590,121,185,84
52,Female,160,100,Muscle Gain,Non-Vegetarian,Keto Plan,Avocado toast,Grilled chicken with salad,Grilled fish with veggies,Fruit salad,2075,115,186,81
33,Female,155,59,Muscle Gain,Vegan,Low Carb Plan,Oatmeal with fruits,Grilled chicken with salad,Tofu curry,Chia pudding,2307,161,264,96
57,Female,168,81,Muscle Gain,Vegetarian,Low Carb Plan,Protein shake,Vegetable biryani,Paneer curry with rice,Green smoothie,2866,139,207,70
24,Male,165,89,Weight Loss,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Fish curry with rice,Paneer curry with rice,Green smoothie,2762,155,192,97
21,Female,162,52,Muscle Gain,Vegetarian,High Protein Plan,Protein shake,Paneer rice bowl,Grilled fish with veggies,Fruit salad,2070,97,215,64
